SECTION,STATION,SIGNAL NAME,CUMMULATIVE DISTANT(IN Meter)
NGP-BSP,NGP,NGP STR,0.00
NGP-BSP,NGP,NGP INT STR,391.00
NGP-BSP,NGP,NGP ADV STR,1150.00
NGP-BSP,NGP,NGP GATE SIG,1731.00
NGP-BSP,NGP,L XING,1934.00
NGP-BSP,NGP,NEU SEC,2271.00
NGP-BSP,NGP,GATE IN DIST,3182.00
NGP-BSP,NGP,NGP GATE SIG,4581.00
NGP-BSP,NGP,L XING,4814.00
NGP-BSP,NGP,KAV HOME,4889.00
NGP-BSP,KAV,KAV STR,6414.00
NGP-BSP,KAV,L XING,6871.00
NGP-BSP,KAV,KAV ADV STR,7263.00
NGP-BSP,KAV,A:A2,8255.00
NGP-BSP,KAV,A:A4,10500.00
NGP-BSP,KAV,A:A6,11402.00
NGP-BSP,KAV,KP HOME,12998.00
NGP-BSP,KAV,L XING,13224.00
NGP-BSP,KP,KP STR,14113.00
NGP-BSP,KP,KP ADV STR,14568.00
NGP-BSP,KP,A:A10,15809.00
NGP-BSP,KP,KNHN HOME,16898.00
NGP-BSP,KNHN,KNHN STR,18647.00
NGP-BSP,KNHN,KNHN ADV STR,19447.00
NGP-BSP,KNHN,NEU SEC,20287.00
NGP-BSP,KNHN,A:A12,20695.00
NGP-BSP,KNHN,A:A14,21759.00
NGP-BSP,KNHN,SAL HOME,23118.00
NGP-BSP,KNHN,L XING,23339.00
NGP-BSP,SAL,SAL STR,24615.00
NGP-BSP,SAL,L XING,24868.00
NGP-BSP,SAL,SAL ADV STR,25084.00
NGP-BSP,SAL,A:A20,26269.00
NGP-BSP,SAL,SA G:A22,27244.00
NGP-BSP,SAL,L XING,27482.00
NGP-BSP,SAL,A:A24,28049.00
NGP-BSP,SAL,CHCR HOME,29684.00
NGP-BSP,CHCR,CHCR STR,31051.00
NGP-BSP,CHCR,L XING,31301.00
NGP-BSP,CHCR,CHCR ADV STR,31517.00
NGP-BSP,CHCR,A:A30,32563.00
NGP-BSP,CHCR,A:A32,33682.00
NGP-BSP,CHCR,SA G:A34,34869.00
NGP-BSP,CHCR,L XING,35114.00
NGP-BSP,CHCR,TAR HOME,36366.00
NGP-BSP,CHCR,L XING,36679.00
NGP-BSP,TAR,TAR STR,37588.00
NGP-BSP,TAR,TAR ADV STR,38051.00
NGP-BSP,TAR,A:A36,39227.00
NGP-BSP,TAR,NEU SEC,39682.00
NGP-BSP,TAR,A:A38,40594.00
NGP-BSP,TAR,RRL HOME,41938.00
NGP-BSP,RRL,RRL STR,43090.00
NGP-BSP,RRL,RRL ADV STR,43509.00
NGP-BSP,RRL,A:A40,45260.00
NGP-BSP,RRL,A:A42,46356.00
NGP-BSP,RRL,A:A44,47535.00
NGP-BSP,RRL,A:A46,49321.00
NGP-BSP,RRL,KT HOME,50901.00
NGP-BSP,RRL,L XING,51109.00
NGP-BSP,KT,KT STR,52247.00
NGP-BSP,KT,KT ADV STR,52494.00
NGP-BSP,KT,SA G:A48,53696.00
